codigo;loja;nome;N Fantasia;endereco;complemento;bairro;uf;codigo_municipio;municipio;cep;pais;cnpj_cpf;ins_estadual;latitude;longitude;vendedor;rede;regiao
213;44;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO  LAGARTO;AVENIDA SIN ANTONIO FRANCISCO DA ROCHA-L;;EXPOSICAO;SE;3500;LAGARTO;49400-000;105;73.849.952/0055-40;27.225.678-1;-109.125.812;-376.672.134;Ricardo;Atakarejo;Aracaju e regiao
213;47;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO - ESTANCIA ARACAJU;AVENIDA RUBENS ALVES DA SILVA 1.132;;SANTA CRUZ;SE;2106;ESTANCIA;49200-000;105;73.849.952/0048-11;27.223.877-5;-112.758.643;-374.490.888;Ricardo;Atakarejo;Aracaju e regiao
213;46;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ARACAJU PARAISO;AVENIDA PRES TANCREDO NEVES 8050;;NOVO PARAISO;SE;308;ARACAJU;49082-005;105;73.849.952/0060-08;27.232.185-0;-1.090.931;-37.090.671;Ricardo;Atakarejo;Aracaju e regiao
4234;2;SUPERMERCADO BOMBOM LTDA;SUP BOMBOM ESTANCIA CENTRO;RUA DA LIBERDADE 162;;CENTRO;SE;2106;ESTANCIA;49200-000;105;04.136.442/0001-10;27.101.934-4;-112.682.251;-374.393.414;Vinicius;Bombom;Aracaju e regiao
82;63;CENCOSUD BRASIL COMERCIAL S.A;G. BARBOSA J. C. DE ARAUJO;AV OSVALDO ARANHA 1240;;J. C. DE ARAUJO;SE;308;ARACAJU;49085-410;105;39.346.861/0023-77;27.105.260-0;-109.067.173;-370.857.251;Vinicius;Gbarbosa;Aracaju e regiao
82;64;CENCOSUD BRASIL COMERCIAL S.A;G BARBOSA FAROLANDIA;AV JOSE THOMAZ D AVILA NABUCO 945;;FAROLANDIA;SE;308;ARACAJU;49030-270;105;39.346.861/0103-96;27.121.526-7;-109.707.089;-370.614.597;Vinicius;Gbarbosa;Aracaju e regiao
82;68;CENCOSUD BRASIL COMERCIAL S.A;GBARBOSA JARDINS;AV DEP SILVIO TEIXEIRA 831;;JARDINS;SE;308;ARACAJU;49025-100;105;39.346.861/0040-78;27.105.239-2;-109.413.501;-370.584.394;Vinicius;Gbarbosa;Aracaju e regiao
82;53;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA  - RIO MAR;AV LUIZ LUA GONZAGA 400;;COROA DO MEIO;SE;308;ARACAJU;49035-500;105;39.346.861/0116-00;27.122.169-0;-109.461.745;-370.485.875;Vinicius;Gbarbosa;Aracaju e regiao
82;54;CENCOSUD BRASIL COMERCIAL S.A.;G BARBOSA ARACAJU I;AV ALEXANDRO ALCINO 2155;;SANTA MARIA;SE;308;ARACAJU;49044-090;105;39.346.861/0118-72;27.122.117-8;-109.862.984;-370.979.096;Vinicius;Gbarbosa;Aracaju e regiao
82;55;CENCOSUD BRASIL COMERCIAL S.A.;G BARBOSA HIPER NORTE;AV OSVALDO ARANHA 1240;;J. C. DE ARAUJO;SE;308;ARACAJU;49085-410;105;39.346.861/0023-77;27.105.260-0;-109.067.173;-370.857.251;Vinicius;Gbarbosa;Aracaju e regiao
82;56;CENCOSUD BRASIL COMERCIAL S.A.;G BARBOSA CJ ORLANDO DANTAS;AV FRANCISCO JOSE FONSECA 1337;;CJ. ORLANDO DANTAS;SE;308;ARACAJU;49042-000;105;39.346.861/0022-96;27.105.237-6;-109.678.994;-37.087.242;Vinicius;Gbarbosa;Aracaju e regiao
82;57;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA ARACAJU II;AV AUGUSTO FRANCO 3280;;PONTO NOVO;SE;308;ARACAJU;49047-040;105;39.346.861/0016-48;27.105.252-0;-109.325.548;-370.749.172;Vinicius;Gbarbosa;Aracaju e regiao
82;58;CENCOSUD BRASIL COMERCIAL S.A.;G BARBOSA  CJ. AUGUSTO FRANCO;AV HERACLITO ROLLEMBERG 2676;;CJ. AUGUSTO FRANCO;SE;308;ARACAJU;49030-640;105;39.346.861/0044-00;27.105.251-1;-109.727.169;-370.661.946;Vinicius;Gbarbosa;Aracaju e regiao
82;59;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA SANTOS DUMONT;R MAJOR AURELIANO 305;;SANTOS DUMONT;SE;308;ARACAJU;49087-400;105;39.346.861/0017-29;27.105.246-5;-10.894.986;-370.807.694;Vinicius;Gbarbosa;Aracaju e regiao
82;60;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA  SANTO ANTONIO;R MURIBECA 310;;SANTO ANTONIO;SE;308;ARACAJU;49060-470;105;39.346.861/0035-00;27.105.244-9;-1.089.827;-370.599.068;Vinicius;Gbarbosa;Aracaju e regiao
82;61;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA FRANCISCO PORTO;AV FRANCISCO PORTO 250;LOJA 20;SALGADO FILHO;SE;308;ARACAJU;49020-120;105;39.346.861/0033-49;27.105.245-7;-109.347.924;-370.529.267;Vinicius;Gbarbosa;Aracaju e regiao
82;62;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA  CENTRO;AV COELHO E CAMPOS 215;;CENTRO;SE;308;ARACAJU;49010-720;105;39.346.861/0034-20;27.105.249-0;-10.906.536;-370.513.546;Vinicius;Gbarbosa;Aracaju e regiao
82;65;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA ATALAIA VELHA;R LUIZ CHAGAS 55;;ATALAIA VELHA;SE;308;ARACAJU;49037-430;105;39.346.861/0037-72;27.105.247-3;-109.848.751;-370.547.085;Vinicius;Gbarbosa;Aracaju e regiao
82;66;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA SAO JOSE;R GONCALO R. DO PRADO 142;;SAO JOSE;SE;308;ARACAJU;49010-410;105;39.346.861/0038-53;27.105.238-4;-109.221.008;-3.705.428.930.000.000;Vinicius;Gbarbosa;Aracaju e regiao
82;67;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA CENTRO;R JOSE DO PRADO FRANCO 148;;CENTRO;SE;308;ARACAJU;49010-110;105;39.346.861/0039-34;27.105.235-0;-109.075.311;-370.491.237;Vinicius;Gbarbosa;Aracaju e regiao
82;69;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA SIQUEIRA CAMPOS;R CARLOS CORREIA 453;LOJA 05;SIQUEIRA CAMPOS;SE;308;ARACAJU;49075-160;105;39.346.861/0036-91;27.105.240-6;-109.090.815;-370.696.736;Vinicius;Gbarbosa;Aracaju e regiao
82;70;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA HIPER SUL;AV MELICIO MACHADO 1060;;ATALAIA;SE;308;ARACAJU;49037-445;105;39.346.861/0072-55;27.112.394-0;-109.957.757;-370.657.649;Vinicius;Gbarbosa;Aracaju e regiao
82;71;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA CONJ BUGIO;AV POCO DO MERO 285;;CONJUNTO BUGIO;SE;308;ARACAJU;49090-000;105;39.346.861/0042-30;271052481;-10.891.878;-370.939.381;Vinicius;Gbarbosa;Aracaju e regiao
82;72;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA BARRA DOS COQUEIROS;AV OCEANICA 1025;;CENTRO;SE;605;BARRA DOS COQUEIROS;49140-970;105;39.346.861/0377-58;271381850;-109.463.811;-370.275.476;Vinicius;Gbarbosa;Aracaju e regiao
82;73;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA LUZIA;R MINISTRO NELSON HUNGRIA 155;;LUZIA;SE;308;ARACAJU;49045-510;105;39.346.861/0451-81;271491647;-109.339.967;-37.063.428;Vinicius;Gbarbosa;Aracaju e regiao
82;74;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA  SAO CRISTOVAO;AVENIDA AYRTON SENNA S/N;;CONJ. ROSA MARIA;SE;6701;SAO CRISTOVAO;49100-000;105;39.346.861/0043-10;27.105.258-9;-109.289.748;-371.183.286;Vinicius;Gbarbosa;Aracaju e regiao
4640;1;EKO EXPRESS MINIMERCADO LTDA;EKO EXPRESS MINIMERCADO LTDA;AVENIDA PRES TANCREDO NEVES 670;;JARDINS;SE;308;ARACAJU;49025-620;105;61.851.780/0001-78;27.236.176-3;-109.521.891;-370.588.378;Vinicius;Outros;Aracaju e regiao
6123;1;EXITO SUPERMERCADO LTDA;EXITO SUPERMERCADO;RUA DR  LAUDELINO FREIRE 390;;CENTRO;SE;3500;LAGARTO;49400-000;105;34.811.344/0001-00;27188389-8;-109.141.875;-376.723.657;Nixon;Outros;Aracaju e regiao
4130;1;HIPER CARNE BARRA LTDA;HIPER CARNES BARRA DOS COQUEIROS;AV OCEANICA 835;;CENTRO;SE;605;BARRA DOS COQUEIROS;49140-000;105;44.069.669/0001-05;271805323;-109.470.392;-370.295.798;Vinicius;Outros;Aracaju e regiao
2652;1;LWA COMERCIAL LTDA;MASSIMO LUZIA;AV HERMES FONTES  1568;;LUZIA;SE;308;ARACAJU;49045-760;105;31.432.054/0001-50;271618353;-109.315.817;-370.617.513;Vinicius;Massimo;Aracaju e regiao
2652;2;LWA COMERCIAL LTDA;MASSIMO FAROLANDIA;AV DR ADEL NUNES 1059;;FAROLANDIA;SE;308;ARACAJU;49032-100;105;31.432.054/0002-30;27.173.095-1;-109.668.605;-370.652.514;Vinicius;Massimo;Aracaju e regiao
4607;1;MABENI DELICATESSEN LTDA;MABENI ARACAJU;RUA MANOEL MESSIAS MELO 676;;ARUANA;SE;308;ARACAJU;49000-179;105;57.924.925/0001-46;27.221.763-8;-110.153.242;-370.777.919;Vinicius;Outros;Aracaju e regiao
2459;42;MATEUS SUPERMERCADOS S.A.;MATEUS JOSE CONRADO DE ARAUJO;AV CHANC OSVALDO ARANHA 1110;;JOSE CONRADO DE ARAUJO;SE;308;ARACAJU;49085-100;105;03.995.515/0237-01;271803487;-109.074.033;-37.091.843;Ricardo;Mateus;Aracaju e regiao
2459;D5;MATEUS SUPERMERCADOS S.A.;MATEUS ARACAJU SANTA MONICA;AVENIDA JOAO RODRIGUES 582;;INDUSTRIAL;SE;308;ARACAJU;49065-450;105;03.995.515/0325-22;272133809;-108.959.105;-370.509.828;Ricardo;Mateus;Aracaju e regiao
4575;1;MEL DISTRIBUIDORA LTDA;MEL DISTRIBUIDORA;RUA BOSCO SCAFFS 95;;INACIO BARBOSA;SE;308;ARACAJU;49041-060;105;50.911.223/0001-89;27.192.804-2;-109.529.409;-370.704.327;Vinicius;Outros;Aracaju e regiao
1899;42;SENDAS DISTRIBUIDORA S/A;ASSAI JOSE CONRADO DE ARAUJO;R SIMEAO AGUIAR 430;;JOSE CONRADO DE ARAUJO;SE;308;ARACAJU;49085-410;105;06.057.223/0299-00;27.152.081-7;-10.907.326;-37.087.548;Nixon;Assai;Aracaju e regiao
1899;54;SENDAS DISTRIBUIDORA S/A;ASSAI INACIO BARBOSA;AV ADELIA FRANCO 3735;;INACIO BARBOSA;SE;308;ARACAJU;49040-020;105;06.057.223/0518-33;27.182.055-1;-10.948.019;-3.707.105.670.000.000;Nixon;Assai;Aracaju e regiao
1899;65;SENDAS DISTRIBUIDORA S/A;ASSAI INACIO BARBOSA;AV ADELIA FRANCO 3736;;INACIO BARBOSA;SE;308;ARACAJU;49040-020;105;06.057.223/0518-33;27.182.055-1;-109.473.624;-370.719.966;Nixon;Assai;Aracaju e regiao
82;87;CENCOSUD BRASIL COMERCIAL LTDA.;CENCOSUD CD SERGIPE 2;RODOVIA BR 235 S/N;;SOBRADO;SE;4805;NOSSA SENHORA DO SOCORRO;49158-622;105;39.346.861/0527-14;27.207.487-0;-108.771.649;-37.158.409;Vinicius;Gbarbosa;Aracaju e regiao
4234;1;SUPERMERCADO BOMBOM LTDA;SUP BOMBOM LAGARTO CENTRO;AV ZACARIAS JUNIOR 100;;CENTRO;SE;3500;LAGARTO;49400-000;105;04.136.442/0002-00;27.184.977-0;-10.919.518;-3.767.068.620.000.000;Vinicius;Bombom;Aracaju e regiao
82;82;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA CONJ. MARCOS FREIRE I;AVENIDA COLETORA A S/N;;CONJ. MARCOS FREIRE I;SE;4805;NOSSA SENHORA DO SOCORRO;49160-000;105;39.346.861/0148-98;271311479;-108.378.656;-370.661.651;Vinicius;Gbarbosa;Aracaju e regiao
4234;3;SUPERMERCADO BOMBOM LTDA;SUPERMERCADO BOMBOM LTDA GRAGERU;AVENIDA DEP PEDRO VALADARES 780;;GRAGERU;SE;308;ARACAJU;49026-115;105;04.136.442/0003-82;27.228.488-2;-109.388.078;-370.569.723;Vinicius;Bombom;Aracaju e regiao
4582;1;SUPERMERCADO JABOTIANA LTDA;HIPER CARNE JABOTIANA;RUA MAJ JOAO TELES 44;;JABOTIANA;SE;308;ARACAJU;49095-230;105;50.747.044/0001-58;27.192.235-4;-109.427.527;-370.786.915;Vinicius;Bombom;Aracaju e regiao
4582;2;SUPERMERCADO JABOTIANA LTDA;SUPERMERCADO ARUANA;RUA MARIA VASCONCELOS DE ANDRADE 536;;ARUANA;SE;308;ARACAJU;49000-626;105;50.747.044/0002-39;27.239.224-3;-110.072.886;-370.895.225;Vinicius;Bombom;Aracaju e regiao
82;84;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA CD SERGIPE;RODOVIA BR 235 S/N;KM 04 ANEXO I;SOBRADO;SE;4805;NOSSA SENHORA DO SOCORRO;49158-622;105;39.346.861/0001-61;271052104;-108.771.649;-37.158.409;Vinicius;Gbarbosa;Aracaju e regiao
1899;66;SENDAS DISTRIBUIDORA S/A;ASSAI NOSSA SRA DO SOCORRO;AV EIXO ESTRUTURAL B SN;QUADRA 2 LOTE 1;DISTRITO;SE;4805;NOSSA SENHORA DO SOCORRO;49160-000;105;06.057.223/0478-01;27.179.082-2;-108.462.982;-37.079.425;Nixon;Assai;Aracaju e regiao
4237;1;VANDERSON CARMELITO ROCHA LTDA;ROCHA CARNES - ARACAJU;R MARIA VASCONCELOS DE ANDRADE 506;LOTE 116 QD 05 LOT RES AR;ARUANA;SE;308;ARACAJU;49000-626;105;16.918.263/0001-14;27.139.228-2;-11.007.511;-370.896.431;Vinicius;Outros;Aracaju e regiao
4237;2;VANDERSON CARMELITO ROCHA LTDA;ROCHA CARNES - BARRA DOS COQUEIROS;AV GAL ANTONIO S. B. PIRRO 14;;CONJUNTO PRISCO VIANA;SE;605;BARRA DOS COQUEIROS;49140-000;105;16.918.263/0002-03;27.180.097-6;-109.076.803;-370.305.437;Vinicius;Outros;Aracaju e regiao
4237;3;VANDERSON CARMELITO ROCHA LTDA;ROCHA CARNES - NOSSA SENHORA DO SOCORRO;AV A 58;;MARCOS FREIRE;SE;4805;NOSSA SENHORA DO SOCORRO;49160-000;105;16.918.263/0003-86;27.180.095-0;-108.488.032;-370.546.051;Vinicius;Outros;Aracaju e regiao
4237;4;VANDERSON CARMELITO ROCHA LTDA;ROCHA CARNES - ARACAJU SANTOS DUMONT;R MAJ AURELIANO 123;;SANTOS DUMONT;SE;308;ARACAJU;49087-400;105;16.918.263/0004-67;27.185.559-2;-108.968.094;-370.814.716;Vinicius;Outros;Aracaju e regiao
47;7;WMB SUPERMERCADOS DO BRASIL LTDA.;SAMS ARACAJU;AV DEP SILVIO TEIXEIRA, 870;;JARDINS;SE;308;ARACAJU;49025-100;105;00.063.960/0561-55;27165570-4;-109.411.645;-370.569.723;Vinicius;Sams;Aracaju e regiao
6049;5;MULTICOM ATACADO E VAREJO S/A;ECONOMART BARREIRAS;AVENIDA AHYLON MACEDO 745;;MORADA NOBRE;BA;3201;BARREIRAS;47810-035;105;28.548.486/0027-55;225.786.505;-121.447.075;-450.090.894;Nixon;Economart;Barreiras e regiao
4245;8;CDP SUPERMERCADOS LTDA;CDP OGUNJA LOJA 08;AVENIDA GENERAL GRACA LESSA 000888;N 8888;ACUPE DE BROTAS;BA;27408;SALVADOR;40290-110;105;43.941.941/0004-85;192.339.665;-129.937.139;-384.957.522;Nixon;Cdp;Brotas e regiao
2644;1;SUPERMERCADO OGUNJA LTDA;CESTA DO POVO;AV GENERAL GRACA LESSA  888;;ACUPE DE BROTAS;BA;27408;SALVADOR;40290-110;105;32.819.547/0001-00;155.765.209;-129.948.055;-384.958.897;Nixon;Outros;Brotas e regiao
2;72;ATACADAO S.A.;ATACADAO BROTAS;AV MARIO LEAL FERREIRA 500;;BROTAS;BA;27408;SALVADOR;40285-600;105;75.315.333/0252-84;163.465.702;-129.838.102;-384.924.043;Nixon;Atacadao;Brotas e regiao
82;8;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 029 BROTAS;AV ANTONIO CARLOS MAGALHAES, 4479;;BROTAS;BA;27408;SALVADOR;40280-000;105;39.346.861/0059-88;56.625.880;-129.801.934;-384.703.712;Vinicius;Gbarbosa;Brotas e regiao
82;29;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 106 BROTAS;FREDERICA COSTA 534;;BROTAS;BA;27408;SALVADOR;40243-045;105;39.346.861/0138-16;84.605.683;-129.825.543;-384.993.242;Vinicius;Gbarbosa;Brotas e regiao
82;32;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-123-BROTAS;VALE DO OGUNJA 304;;BROTAS;BA;27408;SALVADOR;40290-500;105;39.346.861/0193-42;81.846.878;-129.928.164;-384.955.341;Vinicius;Gbarbosa;Brotas e regiao
2;25;ATACADAO S.A;ATAC BARROS REIS;AV BARROS REIS 1579;;CABULA;BA;27408;SALVADOR;40310-010;105;75.315.333/0016-95;57746966;-129.607.244;-384.775.376;Nixon;Atacadao;Brotas e regiao
213;6;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BE;ATAKAREJO CABULA;ESTRADA DAS BARREIRAS;;CABULA;BA;27408;SALVADOR;41195-001;105;73.849.952/0008-24;111689374;-129.442.028;-384.578.191;Ricardo;Atakarejo;Brotas e regiao
82;47;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-272- CABULA;RUA ESTRADA DAS BARREIRAS N°992;;CABULA;BA;27408;SALVADOR;41185-500;105;39.346.861/0429-13;105.585.178;-129.454.592;-384.590.437;Vinicius;Gbarbosa;Brotas e regiao
1899;52;SENDAS DISTRIBUIDORA S/A;ASSAI CABULA;R SILVEIRA MARTINS 000119;;CABULA;BA;27408;SALVADOR;41150-000;105;06.057.223/0483-79;188.374.289;-129.575.794;-384.543.532;Nixon;Assai;Brotas e regiao
1899;62;SENDAS DISTRIBUIDORA S/A;ASSAI CABULA;R SILVEIRA MARTINS 000119;;CABULA;BA;27408;SALVADOR;41150-000;105;06.057.223/0483-79;188.374.289;-129.575.794;-384.543.532;Nixon;Assai;Brotas e regiao
48;20;WMS SUPERMERCADOS DO BRASIL LTDA.;ATAC CABULA;R SILVEIRA MARTINS 2233;OUTROS LOJA;CABULA;BA;27408;SALVADOR;41150-000;105;93.209.765/0529-31;198308960;-129.523.038;-384.614.984;Nixon;Atacadao;Brotas e regiao
2;27;ATACADAO S.A;ATAC CAJAZEIRAS;R COQUEIRO GRANDE 614;;CAJAZEIRAS;BA;27408;SALVADOR;41342-840;105;75.315.333/0058-44;69287831;-129.120.721;-384.034.526;Nixon;Atacadao;Brotas e regiao
47;10;WMB SUPERMERCADOS DO BRASIL LTDA;SAMS COSME DE FARIAS;AV MARIO LEAL FERREIRA 000780;;COSME DE FARIAS;BA;27408;SALVADOR;40252-390;105;00.063.960/0574-70;187.549.772;-129.838.713;-384.877.019;Vinicius;Sams;Brotas e regiao
