codigo;loja;nome;N Fantasia;endereco;complemento;bairro;uf;codigo_municipio;municipio;cep;pais;cnpj_cpf;ins_estadual;latitude;longitude;vendedor
47;7;WMB SUPERMERCADOS DO BRASIL LTDA.;SAMS ARACAJU;AV DEP SILVIO TEIXEIRA, 870;;JARDINS;SE;308;ARACAJU;49025-100;105;00.063.960/0561-55;27165570-4;;;VINICIUS
47;9;WMB SUPERMERCADOS DO BRASIL LTDA;SAMS LAURO DE FREITAS;AV SANTOS DUMONT 7552;;BURAQUINHO;BA;19207;LAURO DE FREITAS;42710-860;105;00.063.960/0578-01;198087309;;;VINICIUS
47;10;WMB SUPERMERCADOS DO BRASIL LTDA;SAMS COSME DE FARIAS;AV MARIO LEAL FERREIRA 000780;;COSME DE FARIAS;BA;27408;SALVADOR;40252-390;105;00.063.960/0574-70;187.549.772;;;VINICIUS
47;12;WMB SUPERMERCADOS DO BRASIL LTDA.;SAMS FEIRA DE SANTANA;RUA CORONEL JOSE PINTO DOS SANTOS S/N;S/N;SAO JOAO;BA;10800;FEIRA DE SANTANA;44051-568;105;00.063.960/0600-04;213.090.131;;;VINICIUS
48;7;WMS SUPERMERCADOS DO BRASIL LTDA;MAXXI LAURO;AV SANTOS DUMONT KM 3 E5 3423;;CENTRO;BA;19207;LAURO DE FREITAS;42700-000;105;93.209.765/0304-58;76895315;;;NIXON
48;8;WMS SUPERMERCADOS DO BRASIL LTDA;ATAC MARES;AV COMENDADOR BASTOS SN;;MARES;BA;27408;SALVADOR;40445-211;105;93.209.765/0315-00;77998249;;;NIXON
48;17;WMS SUPERMERCADOS DO BRASIL LTDA.;ATAC CAMACARI CENTRO;AV DEPUTADO LUIS EDUARDO MAGALHAES;;CENTRO;BA;5701;CAMACARI;42800-071;105;93.209.765/0500-50;166.374.042;;;NIXON
48;20;WMS SUPERMERCADOS DO BRASIL LTDA.;ATAC CABULA;R SILVEIRA MARTINS 2233;OUTROS LOJA;CABULA;BA;27408;SALVADOR;41150-000;105;93.209.765/0529-31;198308960;;;NIXON
48;26;WMS SUPERMERCADOS DO BRASIL LTDA.;ATACADAO;RODOVIA BA 535  VIA PARAFUSO S/N;;INDUSTRIAL;BA;5701;CAMACARI;42800-937;105;93.209.765/0550-19;211956538;;;NIXON
48;35;WMS SUPERMERCADOS DO BRASIL LTDA.;ATAC CANABRAVA;RUA ARTEMIO CASTRO VALENTE 000396;;CANABRAVA;BA;27408;SALVADOR;41260-300;105;93.209.765/0560-90;211958914;;;NIXON
69;3;PERINI COMERCIAL DE ALIMENTOS LTDA;PERINI VASCO DA GAMA;AVENIDA VASCO DA GAMA 3051;;FEDERACAO;BA;27408;SALVADOR;40230-731;105;11.965.515/0003-04;88290698;;;VINICIUS
69;4;PERINI COMERCIAL DE ALIMENTOS LTDA;PERINI GRACA;AVENIDA PRINCESA LEOPOLDINA 398;;GRACA;BA;27408;SALVADOR;40150-080;105;11.965.515/0008-19;88293217;;;VINICIUS
69;5;PERINI COMERCIAL DE ALIMENTOS LTDA;PERINI PITUBA;RUA MARANHAO 64;;PITUBA;BA;27408;SALVADOR;41830-260;105;11.965.515/0009-08;88293659;;;VINICIUS
82;8;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 029 BROTAS;AV ANTONIO CARLOS MAGALHAES, 4479;;BROTAS;BA;27408;SALVADOR;40280-000;105;39.346.861/0059-88;56.625.880;;;VINICIUS
82;9;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 035 COSTA AZUL;RUA ARTHUR AZEVEDO MACHADO 3443;;COSTA AZUL;BA;27408;SALVADOR;41760-000;105;39.346.861/0078-40;68.833.574;;;VINICIUS
82;10;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-088 - SAN MARTIN;AV SAO MARTINS SN;;SAN MARTIN;BA;27408;SALVADOR;40355-015;105;39.346.861/0119-53;77.079.509;;;VINICIUS
82;11;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 108 LAURO DE FREITAS;AV LUIS TARQUINIO 1686;;CENTRO;BA;19207;LAURO DE FREITAS;42700-000;105;39.346.861/0143-83;87892394;;;VINICIUS
82;12;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA PAU DA LIMA;RUA JAYME VIEIRA LIMA, S/N;;PAU LIMA;BA;27408;SALVADOR;41235-000;105;39.346.861/0444-52;108.955.192;;;VINICIUS
82;15;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 015 FEIRA DE SANTANA;RUA VASCO FILHO S/N;;CENTRO;BA;10800;FEIRA DE SANTANA;44025-290;105;39.346.861/0048-25;56.626.465;;;VINICIUS
82;16;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 016 FEIRA DE SANTANA;RUA BARAO DE COTEGIPE, 1106;;CENTRO;BA;10800;FEIRA DE SANTANA;44025-030;105;39.346.861/0070-93;65.936.960;;;VINICIUS
82;17;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 017 FEIRA DE SANTANA;RUA MARECHAL DEODORO,245;;CENTRO;BA;10800;FEIRA DE SANTANA;44010-250;105;39.346.861/0047-44;56.626.357;;;VINICIUS
82;18;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 018 ESPLANADA;PRACA.LADISLAU CAVALCANTE,18;;CENTRO;BA;10602;ESPLANADA;48370-000;105;39.346.861/0045-82;56.626.573;;;VINICIUS
82;19;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 029 CIDADE NOVA;AV.EDUARDO FROES DA MOTA,6281;;CIDADE NOVA;BA;10800;FEIRA DE SANTANA;44030-730;105;39.346.861/0091-18;73.286.576;;;VINICIUS
82;20;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 032 RIBEIRA DO POMBAL;AV.EVENCIA BRITO S/N;;CENTRO;BA;26608;RIBEIRA DO POMBAL;48400-000;105;39.346.861/0055-54;56.626.799;;;VINICIUS
82;21;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 036 PAULO AFONSO;AV.APOLONIO SALE;;CENTRO;BA;24009;PAULO AFONSO;48608-100;105;39.346.861/0061-00;56.627.266;;;VINICIUS
82;22;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 037 ALAGOINHAS;RUA DR.DANTAS BIAO S/N;;CENTRO;BA;702;ALAGOINHAS;48000-000;105;39.346.861/0056-35;56.627.266;;;VINICIUS
82;23;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 038 ALAGOINHAS;PRACA DA BANDEIRA 01;;CENTRO;BA;702;ALAGOINHAS;48005-170;105;39.346.861/0052-01;56.626.807;;;VINICIUS
82;24;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 039 ALAGOINHAS;PRACA PADRE ALFREDO,86;;CENTRO;BA;702;ALAGOINHAS;48050-010;105;39.346.861/0051-20;56.626.681;;;VINICIUS
82;25;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 074 SOBRADINHO;R.DR ARIOVALDO DE CARVALHO 780;;SOBRADINHO;BA;10800;FEIRA DE SANTANA;44020-010;105;39.346.861/0111-04;77.013.096;;;VINICIUS
82;26;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 076 TOMBA;RUA COMENDADOR GOMES S/N;;TOMBA;BA;10800;FEIRA DE SANTANA;44064-000;105;39.346.861/0113-68;77.013.310;;;VINICIUS
82;27;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 102 F GRANDE;RUA MELLO MORAES 475;;F. GRANDE;BA;27408;SALVADOR;40352-000;105;39.346.861/0125-00;77.594.552;;;VINICIUS
82;28;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 104 VALENCA;AV.INDL MARITA ALMEIDA S/N;;CENTRO;BA;32903;VALENCA;45400-000;105;39.346.861/0136-54;84.248.482;;;VINICIUS
82;29;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 106 BROTAS;FREDERICA COSTA 534;;BROTAS;BA;27408;SALVADOR;40243-045;105;39.346.861/0138-16;84.605.683;;;VINICIUS
82;30;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 112 VITORIA DA CONQUISTA;AV.OLIVIA FLORES S/N;;CANDEIAS;BA;33307;VITORIA DA CONQUISTA;45028-100;105;39.346.861/0144-64;87.989.892;;;VINICIUS
82;31;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 121 PIRAJA;RUA OITO DE NOVEMBRO 06;;PIRAJA;BA;27408;SALVADOR;41290-200;105;39.346.861/0424-09;105.405.861;;;VINICIUS
82;32;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-123-BROTAS;VALE DO OGUNJA 304;;BROTAS;BA;27408;SALVADOR;40290-500;105;39.346.861/0193-42;81.846.878;;;VINICIUS
82;33;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-125-JUAZEIRO SANTO ANTONIO;RUA PRINCESA ISABEL;;SANTO ANTONIO;BA;18407;JUAZEIRO;48903-130;105;39.346.861/0182-90;81.359.536;;;VINICIUS
82;34;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-127-PETROLINA;AV.DOS TROPEIROS N 10;;PEDRO RAIMUNDO;PE;11101;PETROLINA;56316-140;105;39.346.861/0179-94;42.381.509;;;ANTONIO
82;35;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-129-JUAZEIRO;TRAVESSA MARAVILHA 418;;CENTRO;BA;18407;JUAZEIRO;48904-140;105;39.346.861/0184-51;81.359.978;;;ANTONIO
82;36;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-131-PETROLINA;RUA DA INTEGRACAO 583;;vila eduardo;PE;11101;PETROLINA;56328-010;105;39.346.861/0178-03;42.381.762;;;ANTONIO
82;37;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-133 -JUAZEIRO CENTRO;TRAVESSA MATATU S/N;;CENTRO;BA;18407;JUAZEIRO;48904-570;105;39.346.861/0194-23;11.731.665;;;ANTONIO
82;38;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-137-JUAZEIRO;RUA PADRE ANCHIETA;;centro;BA;18407;JUAZEIRO;45998-002;105;39.346.861/0197-76;19.675.174;;;ANTONIO
82;39;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-139-VITORIA DA CONQUISTA;AV.JURACI MAGALHAES 3340;;centro;BA;33307;VITORIA DA CONQUISTA;45023-490;105;39.346.861/0196-95;19.674.265;;;VINICIUS
82;40;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-143 - FEIRA DE SANTANA;AV GOV JOAO DE CARNEIRO 970;;n.brasilia;BA;10800;FEIRA DE SANTANA;44088-031;105;39.346.861/0206-00;12.598.212;;;VINICIUS
82;41;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-144 - FEIRA DE SANTANA;AV GETULIO VARGAS 523;;CENTRO;BA;10800;FEIRA DE SANTANA;44001-525;105;39.346.861/0207-82;12.598.320;;;VINICIUS
82;42;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-145 - FEIRA DE SANTANA;AV JOSE FALCAO DA SILVA 150;;QUEIMADINHA;BA;10800;FEIRA DE SANTANA;44050-512;105;39.346.861/0208-63;12.598.654;;;VINICIUS
82;43;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-151 - ILHEUS;AV LOMANTO JUNIOR 786;;CENTRO;BA;13606;ILHEUS;45654-000;105;39.346.861/0211-69;12.808.263;;;VINICIUS
82;44;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-154 - JEQUIEZINHA;AV CESAR BORGES 212 ANEXO 01;;JEQUIEZINHA;BA;18001;JEQUIE;45200-970;105;39.346.861/0261-28;13.504.656;;;VINICIUS
82;45;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-156 -JEQUIE;PRACA DA BANDEIRA S/N;;CENTRO;BA;18001;JEQUIE;45200-310;105;39.346.861/0263-90;13.504.872;;;VINICIUS
82;46;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-158-JEQUIE;RUA FRANCISCO AMEIRA;;CENTRO;BA;18001;JEQUIE;45200-090;105;39.346.861/0265-51;13.505.231;;;VINICIUS
82;47;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-272- CABULA;RUA ESTRADA DAS BARREIRAS N°992;;CABULA;BA;27408;SALVADOR;41185-500;105;39.346.861/0429-13;105.585.178;;;VINICIUS
82;48;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-274-GUARAJUBA;RODOVIA BA 099,KM 42 S/N;;GUARAJUBA;BA;5701;CAMACARI;42827-000;105;39.346.861/0415-18;103.870.056;;;VINICIUS
82;49;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-302 - HORTO BELA VISTA;ALAMEDA EUVALDO LUZ N92;;HORTO BELA VISTA;BA;27408;SALVADOR;41098-020;105;39.346.861/0432-19;105.678.580;;;VINICIUS
82;50;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-306  - PAULO AFONSO;AV JOSE HEMETERIO DE CARVALHO;;PAULO AFONSO;BA;24009;PAULO AFONSO;48601-320;105;39.346.861/0427-51;105.528.487;;;VINICIUS
82;51;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA-315-SERRINHA;RUA LAURO MOTA, SN;;GINASIO;BA;30501;SERRINHA;48700-000;105;39.346.861/0446-14;109277725;;;VINICIUS
82;53;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA  - RIO MAR;AV LUIZ LUA GONZAGA 400;;COROA DO MEIO;SE;308;ARACAJU;49035-500;105;39.346.861/0116-00;27.122.169-0;;;VINICIUS
82;54;CENCOSUD BRASIL COMERCIAL S.A.;G BARBOSA ARACAJU I;AV ALEXANDRO ALCINO 2155;;SANTA MARIA;SE;308;ARACAJU;49044-090;105;39.346.861/0118-72;27.122.117-8;;;VINICIUS
82;55;CENCOSUD BRASIL COMERCIAL S.A.;G BARBOSA HIPER NORTE;AV OSVALDO ARANHA 1240;;J. C. DE ARAUJO;SE;308;ARACAJU;49085-410;105;39.346.861/0023-77;27.105.260-0;;;VINICIUS
82;56;CENCOSUD BRASIL COMERCIAL S.A.;G BARBOSA CJ ORLANDO DANTAS;AV FRANCISCO JOSE FONSECA 1337;;CJ. ORLANDO DANTAS;SE;308;ARACAJU;49042-000;105;39.346.861/0022-96;27.105.237-6;;;VINICIUS
82;57;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA ARACAJU II;AV AUGUSTO FRANCO 3280;;PONTO NOVO;SE;308;ARACAJU;49047-040;105;39.346.861/0016-48;27.105.252-0;;;VINICIUS
82;58;CENCOSUD BRASIL COMERCIAL S.A.;G BARBOSA  CJ. AUGUSTO FRANCO;AV HERACLITO ROLLEMBERG 2676;;CJ. AUGUSTO FRANCO;SE;308;ARACAJU;49030-640;105;39.346.861/0044-00;27.105.251-1;;;VINICIUS
82;59;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA SANTOS DUMONT;R MAJOR AURELIANO 305;;SANTOS DUMONT;SE;308;ARACAJU;49087-400;105;39.346.861/0017-29;27.105.246-5;;;VINICIUS
82;60;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA  SANTO ANTONIO;R MURIBECA 310;;SANTO ANTONIO;SE;308;ARACAJU;49060-470;105;39.346.861/0035-00;27.105.244-9;;;VINICIUS
82;61;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA FRANCISCO PORTO;AV FRANCISCO PORTO 250;LOJA 20;SALGADO FILHO;SE;308;ARACAJU;49020-120;105;39.346.861/0033-49;27.105.245-7;;;VINICIUS
82;62;CENCOSUD BRASIL COMERCIAL S.A.;G. BARBOSA  CENTRO;AV COELHO E CAMPOS 215;;CENTRO;SE;308;ARACAJU;49010-720;105;39.346.861/0034-20;27.105.249-0;;;VINICIUS
82;63;CENCOSUD BRASIL COMERCIAL S.A;G. BARBOSA J. C. DE ARAUJO;AV OSVALDO ARANHA 1240;;J. C. DE ARAUJO;SE;308;ARACAJU;49085-410;105;39.346.861/0023-77;27.105.260-0;;;VINICIUS
82;64;CENCOSUD BRASIL COMERCIAL S.A;G BARBOSA FAROLANDIA;AV JOSE THOMAZ D AVILA NABUCO 945;;FAROLANDIA;SE;308;ARACAJU;49030-270;105;39.346.861/0103-96;27.121.526-7;;;VINICIUS
82;65;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA ATALAIA VELHA;R LUIZ CHAGAS 55;;ATALAIA VELHA;SE;308;ARACAJU;49037-430;105;39.346.861/0037-72;27.105.247-3;;;VINICIUS
82;66;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA SAO JOSE;R GONCALO R. DO PRADO 142;;SAO JOSE;SE;308;ARACAJU;49010-410;105;39.346.861/0038-53;27.105.238-4;;;VINICIUS
82;67;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA CENTRO;R JOSE DO PRADO FRANCO 148;;CENTRO;SE;308;ARACAJU;49010-110;105;39.346.861/0039-34;27.105.235-0;;;VINICIUS
82;68;CENCOSUD BRASIL COMERCIAL S.A;GBARBOSA JARDINS;AV DEP SILVIO TEIXEIRA 831;;JARDINS;SE;308;ARACAJU;49025-100;105;39.346.861/0040-78;27.105.239-2;;;VINICIUS
82;69;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA SIQUEIRA CAMPOS;R CARLOS CORREIA 453;LOJA 05;SIQUEIRA CAMPOS;SE;308;ARACAJU;49075-160;105;39.346.861/0036-91;27.105.240-6;;;VINICIUS
82;70;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA HIPER SUL;AV MELICIO MACHADO 1060;;ATALAIA;SE;308;ARACAJU;49037-445;105;39.346.861/0072-55;27.112.394-0;;;VINICIUS
82;71;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA CONJ BUGIO;AV POCO DO MERO 285;;CONJUNTO BUGIO;SE;308;ARACAJU;49090-000;105;39.346.861/0042-30;271052481;;;VINICIUS
82;72;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA BARRA DOS COQUEIROS;AV OCEANICA 1025;;CENTRO;SE;605;BARRA DOS COQUEIROS;49140-970;105;39.346.861/0377-58;271381850;;;VINICIUS
82;73;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA LUZIA;R MINISTRO NELSON HUNGRIA 155;;LUZIA;SE;308;ARACAJU;49045-510;105;39.346.861/0451-81;271491647;;;VINICIUS
82;74;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA  SAO CRISTOVAO;AVENIDA AYRTON SENNA S/N;;CONJ. ROSA MARIA;SE;6701;SAO CRISTOVAO;49100-000;105;39.346.861/0043-10;27.105.258-9;;;VINICIUS
82;82;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA CONJ. MARCOS FREIRE I;AVENIDA COLETORA A S/N;;CONJ. MARCOS FREIRE I;SE;4805;NOSSA SENHORA DO SOCORRO;49160-000;105;39.346.861/0148-98;271311479;;;VINICIUS
82;84;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA CD SERGIPE;RODOVIA BR 235 S/N;KM 04 ANEXO I;SOBRADO;SE;4805;NOSSA SENHORA DO SOCORRO;49158-622;105;39.346.861/0001-61;271052104;;;VINICIUS
82;85;CENCOSUD BRASIL COMERCIAL S.A.;GBARBOSA CD BAHIA;RODOVIA BA 093 4120;PALMARES;PALMARES;BA;30709;SIMOES FILHO;43700-000;105;39.346.861/0364-33;100.082.388;;;VINICIUS
82;86;CENCOSUD BRASIL COMERCIAL LTDA.;GBARBOSA CAMACARI;VIA DE LIGACAO CAMACARI S/N;;POLO PETROQUIMICO;BA;5701;CAMACARI;42810-260;105;39.346.861/0379-10;102.946.189;;;VINICIUS
82;87;CENCOSUD BRASIL COMERCIAL LTDA.;CENCOSUD CD SERGIPE 2;RODOVIA BR 235 S/N;;SOBRADO;SE;4805;NOSSA SENHORA DO SOCORRO;49158-622;105;39.346.861/0527-14;27.207.487-0;;;VINICIUS
186;1;RMIX COMERC DE GENEROS ALIMENTICIOS LTDA;RMIX PITUBA- PITUBINHA;RUA ARTUR GOMES DE CARVALHO 246;;PITUBA;BA;27408;SALVADOR;41810-640;105;06.337.087/0002-54;83816004;;;VINICIUS
186;2;RMIX COMERCIO DE GENEROS ALIMENTICIOS LT;RMIX IMBUI;AV JORGE AMADO 980;;IMBUI;BA;27408;SALVADOR;41720-040;105;06.337.087/0003-35;80826204;;;VINICIUS
186;3;RMIX COMERCIO DE GENEROS ALIMENTICIOS LT;RMIX SIMOES FILHO;AV WASHINGTON LUIZ;;CENTRO;BA;30709;SIMOES FILHO;43700-000;105;06.337.087/0001-73;64.076.451;;;VINICIUS
186;4;RMIX COMERCIO GENEROS ALIMENTICIOS LTDA;RMIX ALPHAVILLE 1;AV LUIZ VIANA, 7876;;ALPHAVILLE 1;BA;27408;SALVADOR;41701-005;105;06.337.087/0004-16;128981786;;;VINICIUS
186;5;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;RMIX ITAPUA;AV DORIVAL CAYMMI, 107;;ITAPUA;BA;27408;SALVADOR;41635-152;105;06.337.087/0005-05;142824072;;;VINICIUS
186;6;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;RMIX PITUBA - AMAZONAS;R AMAZONAS 883;;PITUBA;BA;27408;SALVADOR;41830-380;105;06.337.087/0010-64;162.154.581;;;VINICIUS
186;7;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;RMIX BURAQUINHO;R PRISCILA B DUTRA 1278;QUADRAR LOTE 00001 LOTEAMENTO MIRAGEM;BURAQUINHO;BA;19207;LAURO DE FREITAS;42709-200;105;06.337.087/0007-69;145.512.921;;;VINICIUS
186;8;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;RMIX HORTO;R WALDEMAR FALCAO 1017;;HORTO FLORESTAL;BA;27408;SALVADOR;40285-885;105;06.337.087/0008-40;152.457.790;;;VINICIUS
186;9;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;RMIX ONDINA;AV ADHEMAR DE BARROS 392;;ONDINA;BA;27408;SALVADOR;40170-110;105;06.337.087/0011-45;171.197.990;;;VINICIUS
186;10;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;RMIX VITORIA;AV SETE DE SETEMBRO 1839;TERREO;VITORIA;BA;27408;SALVADOR;40080-002;105;06.337.087/0009-20;157.653.968;;;VINICIUS
186;11;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;RMIX  STELLA MARIS;R RUBEM VALENTIM 459;;STELLA MARIS;BA;27408;SALVADOR;41600-685;105;06.337.087/0015-79;176.848.181;;;VINICIUS
186;12;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;REDEMIX CHAME-CHAME;RUA PROFESSOR SABINO SILVA 179;;CHAME-CHAME;BA;27408;SALVADOR;40157-250;105;06.337.087/0016-50;177.157.844;;;VINICIUS
